Crop	Variety	texture1	texture2	texture3	minpH	maxpH	minTemp	maxTemp	minPrep	maxPrep	minAlti	maxAlti
Banana	Uganda Green (Cooking types)	LOAM	SANDY LOAM	Clay	5.5	6.5	20	31	1000	2500	0	2100
Banana	Ngombe (Cooking types)	LOAM	SANDY LOAM	Clay	5.5	7.5	20	31	1000	2500	0	2100
Mango	Apple	Loamy	Sandy loam	sandy	5	7.5	15	30	500	2000	0	2300
Mango	Van Dyke	Loamy	Sandy loam	sandy	5	7.5	15	30	500	2000	0	2300
Avocado	Hass	Loamy	Clay loam	Sandy	5	7	20	30	1000	1800	1200	2200
Paw paw	Solo sunrise	Loamy	Clay loam	Sandy 	5.5	7	20	30	1000	2000	0	2100
Paw paw	Dwarf	Loamy	Clay loam	Sandy 	5.5	7	20	30	1000	2000	0	2100
Apples	Anna	Loamy	Clay loam	Sandy Loam	6	7	0	15	800	1100	1500	2800
Grapes	Maroo	loam	Sandy loam	Sandy 	5.5	8	3	37	800	2000	0	1500
Grapes	Red Globe	loam	Sandy loam	Sandy 	5.5	8	3	37	800	2000	0	1500
Plums	Shiro	loamy	clay loam 	sandy loam	5.5	6.5	15	24	800	1000	1700	2600
Loquat	California advance	Sandy Loam	Loam		5	8	20	35	1000	1200	1500	2400
Mulberry	ex-limuru	Clay Loam	Loam		6.2	6.8	20	30	400	2000	0	1500
Custard Apple	Hybrid	Sandy Loam	Loam	clay loam	5	8	13	25	500	1500	1400	1600
Guava	White fleshed	Sandy Loam	Loam	clay loam	5.8	9.6	20	25	500	1000	1500	2500
Guava	Red/pink fleshed	Sandy Loam	Loam	clay loam	5.8	9.6	20	25	500	1000	1500	2500
Guava	Strawberry fleshed	Sandy Loam	Loam	clay loam	5.8	9.6	20	25	500	1000	1500	2500
Lemons	Meyer	loam	Sandy loam	Sandy 	5	6	13	30	800	2000	1000	1500
Limes	Bears	loam	Sandy loam	Sandy 	5	6	13	30	800	2000	0	1500
Grape Fruit	Marsh Seedless' 	loam	Sandy loam	Sandy 	5	6	13	30	800	2000	0	1500
Sweet Oranges	Minneola 	loam	Sandy loam	Sandy 	5	6	13	30	800	2000	0	1500
